Title,Price,Store,Condition
Used Ibane RGAR42MFMT BLUE LAGOON BURST Solid Body Electric Guitar,$299.99,"Twin Cities, MN",Good
Used Martin X SERIES SPECIAL Mahogany Acoustic Electric Guitar,$399.99,"Twin Cities, MN",Excellent
Used Morris W-20 Natural Acoustic Guitar,$299.99,"Independence, MO",Good
Used Morris W-25 Natural Acoustic Guitar,$349.99,"Independence, MO",Good
Used Kiesel SOLO CUSTOM 8  LIGHT BLUE Solid Body Electric Guitar,"$1,599.99","Hobart, IN",Good
Used PRS SE Mark Holcomb 2 Color Sunburst Solid Body Electric Guitar,$799.99,"Denton, TX",Great
Used Martin DCX1KE NATURAL Acoustic Electric Guitar,$549.99,"Allentown, PA",Good
Used Squier Bullet Telecaster Seafoam Green Solid Body Electric Guitar,$129.99,"Sugar Land, TX",Good
Used G&L Tribute Legacy RED Solid Body Electric Guitar,$394.99,"Totowa, NJ",Great
Used 2018 Kiesel SCB7C 7 String Deep Purple Solid Body Electric Guitar,"$1,499.99","Virginia Beach, VA",Great
Used Hofner SHORTY HCTSH Cadillac Green Solid Body Electric Guitar,$109.99,"Appleton, WI",Good
Used Fender American Special Stratocaster 2 Color Sunburst Solid Body Electric Guitar,$799.99,"North Houston, TX",Great
Used Ibanez EW2012ASENT Natural 12 String Acoustic Electric Guitar,$379.99,"Cary, NC",Great
Used Alvarez RD20SC 3 Tone Sunburst Acoustic Electric Guitar,$149.99,"Cary, NC",Fair
Vintage 1970s Gibson Les Paul Deluxe Gold Top Solid Body Electric Guitar,"$5,499.99","Atlanta, GA",Good
Used Jackson JS22 HSS Blue Solid Body Electric Guitar,$169.99,"Danbury, CT",Great
Used Squier Mini Affinity Stratocaster BLACK Electric Guitar,$99.99,"Danbury, CT",Good
Used Blueridge BR140 Historic Series Dreadnought Natural Acoustic Guitar,$649.99,"Kennesaw, GA",Great
Used Jackson Professional Series RR Trans Blue Solid Body Electric Guitar,$899.99,"Albany, NY",Good
Used Fender Standard Stratocaster 2 Color Sunburst Solid Body Electric Guitar,$459.99,"Sugar Land, TX",Good
Used Fender Standard Stratocaster Arctic White Solid Body Electric Guitar,$419.99,"Southington, CT",Good
Used Ibanez GIO Black Solid Body Electric Guitar,$99.99,"Nashville, TN",Good
Used PRS SE Mark Holcomb Holcom Burst Solid Body Electric Guitar,$599.99,"Scottsdale, AZ",Good
Used Ibanez AF75D ORANGE Hollow Body Electric Guitar,$369.99,"Southington, CT",Great
Used Alvarez LF70E DAYBREAK BURST Acoustic Electric Guitar,"$1,049.99","Birmingham, AL",Excellent
Used Fender HM Heavy Metal Stratocaster Seafoam Green Solid Body Electric Guitar,$869.99,"Maple Grove, MN",Good
Used PRS SE Custom 22 Semi-Hollowbody FADED BLUE Hollow Body Electric Guitar,$499.99,"Bridgeton, MO",Good
Used Squier Standard Stratocaster Seafoam Green Solid Body Electric Guitar,$224.99,"Cool Springs, TN",Great
Used Kiesel Ultra V Trans Crimson Red Solid Body Electric Guitar,"$2,199.99","Overland Park, KS",Great
Used Epiphone Les Paul Custom Blackback Pro Antique Ivory Solid Body Electric Guitar,$449.99,"Scranton, PA",Good
Used 2022 Gibson Les Paul Classic Smokehouse burst Solid Body Electric Guitar,"$1,689.99","Florence, KY",Excellent
Used Fender CG7 Natural Classical Acoustic Guitar,$99.99,"N. Olmsted, OH",Good
Used Squier Classic Vibe 60s Mustang Blue Solid Body Electric Guitar,$299.99,"Raleigh, NC",Great
Used Squier Stratocaster HSS Black Solid Body Electric Guitar,$119.99,"North Houston, TX",Good
Used Fender special edition player II stratocaster candy red burst Solid Body Electric Guitar,$599.99,"Asheville, NC",Great
Used 2024 Fender Vintera II '50s Jazzmaster Desert Sand Solid Body Electric Guitar,$979.99,"Alpharetta, GA",Great
Used Godin 5th Avenue Kingpin II cognac burst Hollow Body Electric Guitar,$749.99,"Chattanooga, TN",Excellent
Used Washburn WCG15SCE Natural 12 String Acoustic Electric Guitar,$679.99,"Southfield, MI",Excellent
Used Epiphone SG MODERN FIGURED Trans Red Solid Body Electric Guitar,$489.99,"N. Olmsted, OH",Great
Used Epiphone Les Paul Traditional Pro Black Solid Body Electric Guitar,$359.99,"Dayton, OH",Good
Used EVH Wolfgang Special CHLORINE BURST Solid Body Electric Guitar,$764.99,"N. Olmsted, OH",Great
Used 2020 Fender American Professional Stratocaster SSS Olympic White Solid Body Electric Guitar,"$1,099.99","N. Olmsted, OH",Great
Used ESP LTD EC100QM Black Cherry Solid Body Electric Guitar,$219.99,"Dayton, OH",Great
Used Kramer ASSAULT White Solid Body Electric Guitar,$349.99,"Dayton, OH",Great
Used Godin RICHMOND EMPIRE Brown Solid Body Electric Guitar,$449.99,"Towson, MD",Good
Used Kona K394D Maple Acoustic Guitar,$89.99,"Salem, OR",Good
Used Gibson murphy lab  2 Color Sunburst Solid Body Electric Guitar,"$6,999.99","Scottsdale, AZ",Great
Used Fender 2024 traditional 2 60s jazzmaster Gray Solid Body Electric Guitar,"$1,699.99","Scottsdale, AZ",Great
